Player,Game1,Game2,Game3,Game4,Game5,Game6
Gary Harris,6,14,0,3,3,6
Jalen Williams,22,12,14,16,20,18
Reggie Jackson,9,12,11,23,6,12
David Roddy,14,16,9,14,10,11
Chuma Okeke,6,15,16,3,3,3
Keldon Johnson,17,14,8,14,24,9
Xavier Moon,14,21,10,17,21,23
Aaron Holiday,18,19,18,12,12,12
Cody Martin,12,5,11,7,5,6
Domantas Sabonis,23,16,18,25,18,8
Patrick Williams,13,15,9,5,5,13
Sam Hauser,16,16,8,10,3,6
Isaiah Joe,11,10,14,17,11,12
Ben Sheppard,0,4,6,7,11,11
Mitchell Robinson,2,8,15,2,6,6
Grayson Allen,4,20,19,9,11,23
Moses Moody,8,9,15,9,17,8
Moritz Wagner,14,22,16,19,21,15
Joel Embiid,39,19,27,50,34,29
Tosan Evbuomwan,9,10,8,3,7,14
Isaac Okoro,11,8,10,11,7,7
De'Aaron Fox,35,24,24,23,33,33
Jontay Porter,0,28,21,13,17,4
Tre Jones,11,14,13,8,17,14
Kris Murray,9,10,14,14,10,13
Spencer Dinwiddie,18,6,9,14,7,26
Bones Hyland,20,37,17,17,4,17
Mark Williams,11,12,12,11,18,7
Marcus Morris Sr.,25,2,12,11,17,10
Jonas Valančiūnas,19,13,19,13,26,15
Precious Achiuwa,4,12,8,2,19,9
De'Anthony Melton,6,9,15,22,15,6
Desmond Bane,26,15,24,22,32,23
Giannis Antetokounmpo,15,28,21,35,36,35
Cam Thomas,18,41,23,21,32,27
Javonte Green,11,24,11,9,25,14
Johnny Davis,6,15,2,19,11,6
Royce O'Neale,6,14,15,10,17,12
Amen Thompson,18,17,15,13,8,9
Leaky Black,11,2,9,5,5,8
Norman Powell,20,11,21,6,5,10
P.J. Washington,4,13,17,14,12,10
Justin Holiday,3,13,8,10,6,2
Mason Plumlee,12,5,12,12,14,14
Stephen Curry,22,33,22,23,28,29
Jakob Poeltl,10,16,12,8,19,16
Rayan Rupert,11,4,2,6,9,3
Jayson Tatum,31,15,31,18,16,26
Pat Connaughton,9,5,5,4,6,15
Trendon Watford,14,17,16,21,15,15
Tyrese Haliburton,10,25,26,15,13,20
Jahmi'us Ramsey,18,12,29,12,23,16
Jarred Vanderbilt,12,14,17,12,7,6
Bismack Biyombo,1,6,4,8,8,10
Max Christie,9,6,14,14,7,12
Jock Landale,20,9,10,2,17,17
Jalen Green,26,14,21,21,13,26
De'Andre Hunter,8,6,15,23,18,13
Payton Pritchard,11,7,7,38,31,20
Trayce Jackson-Davis,10,7,20,7,18,8
Georges Niang,5,9,25,17,10,18
Lauri Markkanen,25,34,21,22,25,18
Maxi Kleber,6,3,9,2,4,3
Bam Adebayo,23,25,20,21,24,13
Jaden Hardy,9,25,15,20,19,17
Vít Krejčí,19,0,3,18,8,2
Johnny Juzang,5,27,9,18,31,19
Jordan Goodwin,8,23,10,15,14,13
Dominick Barlow,25,19,15,30,19,22
Khris Middleton,14,29,25,42,15,23
Jordan Hawkins,19,7,8,34,11,32
Dereck Lively II,11,9,14,9,12,7
Delon Wright,8,2,17,11,8,13
Josh Okogie,11,0,3,13,5,12
Matisse Thybulle,8,13,16,13,8,0
Nikola Jović,8,15,11,10,5,22
Lamar Stevens,16,15,9,13,13,10
Collin Sexton,15,19,22,29,26,20
Andre Jackson Jr.,6,7,7,10,7,9
Rui Hachimura,15,5,3,7,13,11
Jaxson Hayes,11,19,14,7,16,5
RJ Barrett,35,23,22,26,28,26
Shai Gilgeous-Alexander,36,30,34,31,33,29
Michael Porter Jr.,7,8,6,4,21,9
Gordon Hayward,6,9,8,9,20,17
Grant Williams,16,12,19,18,5,23
Noah Clowney,16,9,10,7,23,18
Kyle Anderson,7,2,6,1,13,5
Jae'Sean Tate,9,8,16,4,2,14
Santi Aldama,6,5,15,27,14,16
Derrick White,14,6,16,18,15,16
Eric Gordon,6,11,11,14,0,15
Jericho Sims,2,4,7,8,4,2
Chet Holmgren,21,13,18,13,11,19
Dario Šarić,12,12,13,20,18,21
Nikola Jokić,34,22,40,35,24,16
Kyle Kuzma,17,12,24,16,31,11
Cam Reddish,8,4,8,13,4,9
Justin Minaya,8,2,3,2,20,19
Bradley Beal,9,28,14,15,36,20
Scoot Henderson,30,18,19,15,19,22
Tyus Jones,13,4,12,7,21,8
Keon Ellis,0,15,17,26,11,5
Myles Turner,8,22,23,17,17,16
Goga Bitadze,6,3,11,6,13,13
Danté Exum,14,11,16,9,9,19
Alex Caruso,6,15,8,9,7,8
Jaylen Brown,21,10,30,21,22,29
Andrew Wiggins,12,18,15,17,23,20
Naz Reid,5,14,23,14,19,13
John Collins,30,21,18,10,19,25
Donovan Mitchell,33,29,33,39,50,28
Killian Hayes,8,6,8,5,4,4
Chimezie Metu,9,18,15,7,20,9
Josh Green,3,11,8,4,8,6
Naji Marshall,10,8,7,0,3,10
Jaden Ivey,13,7,16,25,16,31
Damian Lillard,28,28,34,35,16,29
Tyler Herro,15,19,15,24,11,24
Julian Champagnie,11,14,17,17,15,11
Patrick Baldwin Jr.,17,18,15,16,22,2
Russell Westbrook,16,8,15,11,13,13
Jaden McDaniels,10,15,2,24,23,21
Taylor Hendricks,16,10,18,18,8,8
Marcus Sasser,17,24,20,10,18,2
Jordan Clarkson,4,21,22,15,38,5
OG Anunoby,28,13,19,17,16,17
Cade Cunningham,36,33,32,15,23,17
Kevin Huerter,11,6,8,14,15,21
Jrue Holiday,15,10,9,26,12,17
Ja Morant,21,28,26,17,19,31
Kelly Oubre Jr.,17,14,19,15,4,10
Patrick Beverley,6,13,11,5,5,2
Devin Vassell,23,31,26,27,19,25
Malcolm Brogdon,11,14,24,16,19,18
Amir Coffey,3,6,18,16,11,13
Jae Crowder,3,14,6,6,18,0
Gary Trent Jr.,7,16,20,31,23,18
Alperen Sengun,14,19,23,45,21,23
Cason Wallace,3,0,12,16,4,22
Peyton Watson,5,13,12,5,12,14
Richaun Holmes,14,15,6,12,7,14
Walker Kessler,6,12,14,6,7,6
